WeatherCat Data Export created at 09:38:13 21-Sep-14



Data for West Mersea - St Peters follows.

Date, Conditions, Ext. temperature,Dew Point,Wind chill,Pressure,Wind speed (10 Min. average),Average wind direction,Precipitation per hour,Precipitation total,Ext. humidity,Int. humidity,Int. temperature,Wind gust (10 Mins)
2014-08-16T09:19:00,Light Clouds,24.1,14.2,24.1,1022.95,0.6,117,0.00,7.20,54,59.0,21.9,1.4,
2014-08-16T09:29:00,N/A,23.9,13.8,23.9,1022.91,0.1,112,0.00,9.30,53,57.0,22.3,2.0,
2014-08-16T09:39:00,N/A,23.7,13.6,23.7,1022.87,0.2,111,0.00,9.30,53,57.0,22.5,2.1,
2014-08-16T09:49:00,N/A,23.5,13.4,23.5,1022.83,0.3,110,0.00,9.30,53,56.0,22.6,2.1,
2014-08-16T09:59:00,N/A,23.3,13.2,23.3,1022.80,0.3,109,0.00,9.30,53,55.0,22.8,2.2,
2014-08-16T10:09:00,N/A,23.1,13.0,23.1,1022.76,0.4,108,0.00,9.30,53,54.0,22.9,2.2,
2014-08-16T10:19:00,N/A,22.9,12.8,22.9,1022.72,0.5,107,0.00,9.30,53,53.0,23.0,2.3,
2014-08-16T10:29:00,N/A,22.6,12.6,22.6,1022.68,0.6,106,0.00,9.30,53,53.0,23.2,2.4,
2014-08-16T10:39:00,N/A,22.4,12.5,22.4,1022.65,0.7,105,0.00,9.30,53,52.0,23.3,2.4,
2014-08-16T10:49:00,N/A,22.2,12.3,22.2,1022.61,0.8,104,0.00,9.30,53,51.0,23.5,2.5,
2014-08-16T10:59:00,N/A,22.0,12.1,22.0,1022.57,0.9,103,0.00,9.30,53,50.0,23.6,2.5,
2014-08-16T11:09:00,N/A,21.8,11.9,21.8,1022.53,1.0,102,0.00,9.30,53,50.0,23.8,2.6,
2014-08-16T11:19:00,N/A,21.6,11.7,21.6,1022.49,1.0,101,0.00,9.30,54,49.0,23.9,2.7,
2014-08-16T11:29:00,N/A,21.4,11.6,21.4,1022.46,1.1,100,0.00,9.30,54,48.0,24.1,2.7,
2014-08-16T11:39:00,N/A,21.2,11.4,21.2,1022.42,1.2,99,0.00,9.30,54,47.0,24.2,2.8,
2014-08-16T11:49:00,N/A,21.0,11.2,21.0,1022.38,1.3,98,0.00,9.30,54,47.0,24.4,2.9,
2014-08-16T11:59:00,N/A,20.7,11.0,20.7,1022.34,1.4,97,0.00,9.30,54,46.0,24.5,2.9,
2014-08-16T12:09:00,N/A,20.5,10.8,20.5,1022.31,1.5,95,0.00,9.30,54,45.0,24.6,3.0,
2014-08-16T12:19:00,N/A,20.3,10.6,20.3,1022.27,1.6,94,0.00,9.30,54,44.0,24.8,3.0,
2014-08-16T12:29:00,N/A,20.1,10.4,20.1,1022.23,1.7,93,0.00,9.30,54,44.0,24.9,3.1,
2014-08-16T12:39:00,N/A,19.9,10.3,19.9,1022.19,1.7,92,0.00,9.30,54,43.0,25.1,3.2,
2014-08-16T12:49:00,N/A,19.7,10.1,19.7,1022.15,1.8,91,0.00,9.30,54,42.0,25.2,3.2,
2014-08-16T12:59:00,N/A,19.5,9.9,19.5,1022.12,1.9,90,0.00,9.30,54,41.0,25.4,3.3,
2014-08-16T13:09:00,Light Clouds,19.1,9.8,19.1,1022.20,2.7,84,0.00,9.30,55,40.0,25.4,4.7,
2014-08-16T13:19:00,Light Clouds,19.9,10.9,19.9,1022.10,3.9,83,0.00,9.30,56,40.0,25.3,6.6,
2014-08-16T13:29:00,Scattered Clouds,20.3,10.1,20.3,1021.90,1.4,98,0.00,9.30,52,40.0,25.3,3.3,
2014-08-16T13:39:00,Scattered Clouds,20.5,10.0,20.5,1021.91,3.9,108,0.00,9.30,51,40.0,25.2,7.2,
2014-08-16T13:49:00,Scattered Clouds,21.0,10.2,21.0,1021.71,3.3,109,0.00,9.30,50,40.0,25.1,6.0,
2014-08-16T13:59:00,Light Clouds,19.9,10.6,19.9,1021.81,4.7,101,0.00,9.30,55,40.0,25.1,7.2,
2014-08-16T14:09:00,Light Clouds,19.9,10.9,19.9,1021.61,3.3,93,0.00,9.30,56,40.0,25.0,6.6,
2014-08-16T14:19:00,Light Clouds,20.7,11.1,20.7,1021.41,1.9,71,0.00,9.30,54,40.0,25.0,4.7,
2014-08-16T14:29:00,Scattered Clouds,21.8,11.2,21.8,1021.31,1.9,73,0.00,9.30,51,42.0,24.9,6.6,
2014-08-16T14:39:00,Scattered Clouds,21.4,10.5,21.4,1021.31,2.7,61,0.00,9.30,50,41.0,25.0,6.0,
2014-08-16T14:49:00,Scattered Clouds,20.5,10.3,20.5,1021.20,2.7,71,0.00,9.30,52,41.0,25.2,8.0,
2014-08-16T14:59:00,Scattered Clouds,21.0,10.5,21.0,1021.20,4.7,96,0.00,9.30,51,41.0,25.4,6.6,
2014-08-16T15:09:00,Scattered Clouds,21.1,10.0,21.1,1021.00,1.9,83,0.00,9.30,49,41.0,25.6,4.7,
2014-08-16T15:19:00,Scattered Clouds,21.0,9.9,21.0,1020.90,1.9,73,0.00,9.30,49,41.0,25.6,3.9,
2014-08-16T15:29:00,Scattered Clouds,21.5,10.3,21.5,1020.70,5.2,99,0.00,9.30,49,41.0,25.7,8.0,
2014-08-16T15:39:00,Clear,20.7,9.3,20.7,1020.69,3.9,104,0.00,9.30,48,41.0,25.8,9.3,
2014-08-16T15:49:00,Scattered Clouds,20.8,9.7,20.8,1020.69,1.9,89,0.00,9.30,49,41.0,25.9,6.0,
2014-08-16T15:59:00,Scattered Clouds,21.4,10.2,21.4,1020.59,1.4,97,0.00,9.30,49,40.0,26.0,3.9,
2014-08-16T16:09:00,Clear,21.4,9.0,21.4,1020.39,1.4,96,0.00,9.30,45,40.0,26.0,4.7,
2014-08-16T16:19:00,Scattered Clouds,20.3,9.8,20.3,1020.39,0.6,101,0.00,9.30,51,40.0,26.1,1.9,
2014-08-16T16:29:00,Scattered Clouds,21.5,10.3,21.5,1020.19,2.7,104,0.00,9.30,49,41.0,26.0,8.6,
2014-08-16T16:39:00,Clear,23.3,10.4,23.3,1020.29,1.4,80,0.00,9.30,44,41.0,26.0,7.2,
2014-08-16T16:49:00,Clear,22.7,9.1,22.7,1020.09,2.7,53,0.00,9.30,42,41.0,26.0,8.0,
2014-08-16T16:59:00,Clear,22.9,9.3,22.9,1019.99,2.7,82,0.00,9.30,42,41.0,26.1,5.2,
2014-08-16T17:09:00,Clear,21.5,9.7,21.5,1020.19,2.7,59,0.00,9.30,47,41.0,26.2,8.0,
2014-08-16T17:19:00,Clear,21.8,10.3,21.8,1019.99,3.9,91,0.00,9.30,48,41.0,26.2,8.6,
2014-08-16T17:29:00,Scattered Clouds,20.7,10.2,20.7,1019.68,1.4,100,0.00,9.30,51,41.0,26.3,5.2,
2014-08-16T17:39:00,Scattered Clouds,20.3,10.1,20.3,1019.68,3.9,98,0.00,9.30,52,41.0,26.3,5.2,
2014-08-16T17:49:00,Light Clouds,20.1,10.2,20.1,1019.58,1.4,70,0.00,9.30,53,41.0,26.3,3.9,
2014-08-16T17:59:00,Scattered Clouds,20.1,9.9,20.1,1019.38,2.7,99,0.00,9.30,52,41.0,26.3,9.3,
2014-08-16T18:09:00,Scattered Clouds,20.4,9.9,20.4,1019.38,2.7,89,0.00,9.30,51,41.0,26.4,4.7,
2014-08-16T18:19:00,Scattered Clouds,20.5,9.7,20.5,1019.28,0.6,95,0.00,9.30,50,41.0,26.4,5.2,
2014-08-16T18:29:00,Scattered Clouds,20.1,9.4,20.1,1019.18,1.4,89,0.00,9.30,50,41.0,26.4,5.2,
2014-08-16T18:39:00,Light Clouds,19.4,9.6,19.4,1018.98,2.7,99,0.00,9.30,53,41.0,26.4,4.7,
2014-08-16T18:49:00,Light Clouds,19.2,9.4,19.2,1018.98,2.7,125,0.00,9.30,53,42.0,26.4,6.0,
2014-08-16T18:59:00,Light Clouds,19.0,9.8,19.0,1018.88,1.4,104,0.00,9.30,55,42.0,26.4,2.7,
2014-08-16T19:09:00,Light Clouds,18.8,9.6,18.8,1018.78,1.4,89,0.00,9.30,55,42.0,26.5,7.2,
2014-08-16T19:19:00,Light Clouds,18.8,9.8,18.8,1018.78,3.3,111,0.00,9.30,56,42.0,26.4,5.2,
2014-08-16T19:29:00,Light Clouds,18.7,9.7,18.7,1018.68,1.4,99,0.00,9.30,56,42.0,26.4,2.7,
2014-08-16T19:39:00,Light Clouds,18.4,9.7,18.4,1018.68,3.9,111,0.00,9.30,57,42.0,26.4,7.2,
2014-08-16T19:49:00,Light Clouds,18.0,9.6,18.0,1018.78,2.7,123,0.00,9.30,58,42.0,26.4,4.7,
2014-08-16T19:59:00,Light Clouds,17.6,9.5,17.6,1018.78,2.7,71,0.00,9.30,59,42.0,26.5,5.2,
2014-08-16T20:09:00,Light Clouds,17.2,9.1,17.2,1018.68,1.4,61,0.00,9.30,59,42.0,26.5,3.3,
2014-08-16T20:19:00,Light Clouds,16.9,9.6,16.9,1018.68,0.0,56,0.00,9.30,62,42.0,26.5,1.9,
2014-08-16T20:29:00,Light Clouds,16.6,9.8,16.6,1018.58,0.6,99,0.00,9.30,64,42.0,26.5,1.9,
2014-08-16T20:39:00,Light Clouds,16.2,9.8,16.2,1018.58,1.4,105,0.00,9.30,66,42.0,26.5,2.7,
